#	Label	Interval	Total	Time Recorded
	Start	---	---	Tue, Mar 1, 2022 at 10:41:54.023
292	Split	00:00:00.231	00:08:19.849	Tue, Mar 1, 2022 at 10:50:13.872
293	Split	00:00:00.200	00:08:20.049	Tue, Mar 1, 2022 at 10:50:14.072
294	Split	00:00:00.189	00:08:20.238	Tue, Mar 1, 2022 at 10:50:14.261
295	Split	00:00:00.168	00:08:20.406	Tue, Mar 1, 2022 at 10:50:14.429
296	Split	00:00:00.159	00:08:20.565	Tue, Mar 1, 2022 at 10:50:14.588
297	Split	00:00:00.163	00:08:20.728	Tue, Mar 1, 2022 at 10:50:14.751
298	Split	00:00:00.164	00:08:20.892	Tue, Mar 1, 2022 at 10:50:14.915
299	Split	00:00:00.161	00:08:21.053	Tue, Mar 1, 2022 at 10:50:15.076
300	Split	00:00:00.145	00:08:21.198	Tue, Mar 1, 2022 at 10:50:15.221
301	Split	00:00:00.150	00:08:21.348	Tue, Mar 1, 2022 at 10:50:15.371
302	Split	00:00:00.160	00:08:21.508	Tue, Mar 1, 2022 at 10:50:15.531
303	Split	00:00:00.167	00:08:21.675	Tue, Mar 1, 2022 at 10:50:15.698
304	Split	00:00:00.174	00:08:21.849	Tue, Mar 1, 2022 at 10:50:15.872
